ClientKey,ClientVoornamen,ClientTussenvoegsel,ClientAchternaam,GeboorteJaar,ClientGeslacht,NotaRegelBedrag,NotaJaar,NotaKwartaal,NotaMaand,BuurtCode,BuurtNaam
6,Maroua,der,Lake,2012,Jongen,1191.22,2021,Qtr 1,December,BU08260300,Sterrenbuurt
6,Maroua,der,Lake,2012,Jongen,743.44,2020,Qtr 3,November,BU08260601,Slotjes-West
6,Maroua,der,Lake,2012,Jongen,462.08,2020,Qtr 1,January,BU08261307,Sterrenbuurt
6,Maroua,der,Lake,2012,Jongen,1672.11,2020,Qtr 2,May,BU08261300,Vogelbuurt
6,Maroua,der,Lake,2012,Jongen,1263.39,2021,Qtr 2,September,BU08260601,Dorst
6,Maroua,der,Lake,2012,Jongen,2479.25,2018,Qtr 1,February,BU08261300,Slotjes-West
6,Maroua,der,Lake,2012,Jongen,1967.98,2020,Qtr 1,March,BU08261307,Slotjes-West
6,Maroua,der,Lake,2012,Jongen,1230.69,2019,Qtr 3,February,BU08261300,Sterrenbuurt
6,Maroua,der,Lake,2012,Jongen,305.06,2019,Qtr 4,April,BU08261307,Vogelbuurt
6,Maroua,der,Lake,2012,Jongen,1736.04,2018,Qtr 2,September,BU08261307,Vogelbuurt
6,Maroua,der,Lake,2012,Jongen,2242.99,2021,Qtr 2,August,BU08261307,Vogelbuurt
7,Lorena,de,Backer,2007,Meisje,683.37,2018,Qtr 1,July,BU08260601,Dorst
7,Lorena,de,Backer,2007,Meisje,1298.67,2019,Qtr 1,June,BU08261300,Dorst
7,Lorena,de,Backer,2007,Meisje,1577.04,2018,Qtr 3,February,BU08261307,Vogelbuurt
7,Lorena,de,Backer,2007,Meisje,2207.7,2018,Qtr 3,March,BU08260102,Dorst
7,Lorena,de,Backer,2007,Meisje,1496.79,2019,Qtr 3,February,BU08261300,Dorst
7,Lorena,de,Backer,2007,Meisje,704.62,2020,Qtr 2,June,BU08261300,Buitengebied Dorst-Zuid
7,Lorena,de,Backer,2007,Meisje,1527.71,2021,Qtr 1,April,BU08260300,Dorst
7,Lorena,de,Backer,2007,Meisje,931.02,2018,Qtr 3,June,BU08260102,Buitengebied Dorst-Zuid
7,Lorena,de,Backer,2007,Meisje,745.79,2020,Qtr 4,October,BU08261307,Vogelbuurt
7,Lorena,de,Backer,2007,Meisje,1528.62,2020,Qtr 3,November,BU08260601,Dorst
7,Lorena,de,Backer,2007,Meisje,220.61,2021,Qtr 2,September,BU08260300,Sterrenbuurt
7,Lorena,de,Backer,2007,Meisje,1043.43,2018,Qtr 2,November,BU08261300,Sterrenbuurt
7,Lorena,de,Backer,2007,Meisje,2306.01,2018,Qtr 2,August,BU08261300,Buitengebied Dorst-Zuid
7,Lorena,de,Backer,2007,Meisje,992.79,2020,Qtr 4,January,BU08260300,Vogelbuurt
7,Lorena,de,Backer,2007,Meisje,1804.03,2020,Qtr 2,July,BU08261307,Dorst
7,Lorena,de,Backer,2007,Meisje,2275.74,2020,Qtr 1,May,BU08260300,Dorst
7,Lorena,de,Backer,2007,Meisje,2453.32,2021,Qtr 1,December,BU08260601,Dorst
7,Lorena,de,Backer,2007,Meisje,1865.64,2019,Qtr 3,July,BU08260102,Dorst
7,Lorena,de,Backer,2007,Meisje,148.19,2021,Qtr 4,August,BU08261307,Vogelbuurt
7,Lorena,de,Backer,2007,Meisje,2193.46,2018,Qtr 2,March,BU08260102,Buitengebied Dorst-Zuid
8,Lorena,,Lake,2011,Meisje,1431.52,2021,Qtr 1,March,BU08260300,Sterrenbuurt
8,Lorena,,Lake,2011,Meisje,1748.43,2020,Qtr 4,September,BU08260300,Dorst
8,Lorena,,Lake,2011,Meisje,1186.92,2021,Qtr 2,August,BU08260601,Sterrenbuurt
8,Lorena,,Lake,2011,Meisje,2286.87,2019,Qtr 4,March,BU08260102,Sterrenbuurt
8,Lorena,,Lake,2011,Meisje,1408.62,2020,Qtr 1,May,BU08260102,Vogelbuurt
8,Lorena,,Lake,2011,Meisje,2159.54,2019,Qtr 3,January,BU08260601,Sterrenbuurt
8,Lorena,,Lake,2011,Meisje,2423.8,2019,Qtr 3,October,BU08260300,Dorst
8,Lorena,,Lake,2011,Meisje,1147.73,2018,Qtr 1,February,BU08261307,Dorst
8,Lorena,,Lake,2011,Meisje,305.98,2020,Qtr 3,January,BU08260102,Sterrenbuurt
8,Lorena,,Lake,2011,Meisje,1063.46,2020,Qtr 4,August,BU08261300,Dorst
8,Lorena,,Lake,2011,Meisje,959.61,2019,Qtr 1,August,BU08261300,Sterrenbuurt
8,Lorena,,Lake,2011,Meisje,582.34,2018,Qtr 4,December,BU08260102,Vogelbuurt
8,Lorena,,Lake,2011,Meisje,1620.53,2020,Qtr 4,May,BU08260102,Vogelbuurt
8,Lorena,,Lake,2011,Meisje,1838.75,2019,Qtr 1,October,BU08261307,Vogelbuurt
8,Lorena,,Lake,2011,Meisje,755.53,2018,Qtr 1,June,BU08260102,Dorst
8,Lorena,,Lake,2011,Meisje,458.49,2019,Qtr 1,September,BU08260300,Sterrenbuurt
8,Lorena,,Lake,2011,Meisje,1024.26,2018,Qtr 4,April,BU08260300,Buitengebied Dorst-Zuid
8,Lorena,,Lake,2011,Meisje,339.8,2021,Qtr 4,January,BU08260300,Dorst
8,Lorena,,Lake,2011,Meisje,1569.44,2019,Qtr 2,May,BU08260300,Buitengebied Dorst-Zuid
8,Lorena,,Lake,2011,Meisje,900.68,2019,Qtr 2,September,BU08260300,Buitengebied Dorst-Zuid
9,Maud,,Backer,2014,Meisje,465.34,2020,Qtr 1,February,BU08261300,Slotjes-West
9,Maud,,Backer,2014,Meisje,1142.28,2018,Qtr 3,February,BU08260300,Slotjes-West
9,Maud,,Backer,2014,Meisje,1726.53,2018,Qtr 4,April,BU08260300,Slotjes-West
9,Maud,,Backer,2014,Meisje,202.96,2019,Qtr 4,May,BU08261307,Dorst
9,Maud,,Backer,2014,Meisje,1025.36,2019,Qtr 2,October,BU08260102,Vogelbuurt
9,Maud,,Backer,2014,Meisje,1367.15,2020,Qtr 3,January,BU08261307,Slotjes-West
9,Maud,,Backer,2014,Meisje,250.16,2019,Qtr 2,September,BU08260601,Slotjes-West
9,Maud,,Backer,2014,Meisje,1995.45,2018,Qtr 1,May,BU08261307,Sterrenbuurt
9,Maud,,Backer,2014,Meisje,1683.99,2020,Qtr 1,December,BU08261307,Buitengebied Dorst-Zuid
9,Maud,,Backer,2014,Meisje,1379.16,2021,Qtr 4,November,BU08260601,Buitengebied Dorst-Zuid
9,Maud,,Backer,2014,Meisje,1239.7,2019,Qtr 1,December,BU08260102,Buitengebied Dorst-Zuid
9,Maud,,Backer,2014,Meisje,1756.99,2021,Qtr 4,November,BU08260102,Slotjes-West
9,Maud,,Backer,2014,Meisje,608.96,2018,Qtr 1,July,BU08261307,Slotjes-West
9,Maud,,Backer,2014,Meisje,19.3,2021,Qtr 2,April,BU08260300,Buitengebied Dorst-Zuid
9,Maud,,Backer,2014,Meisje,2302.95,2021,Qtr 4,September,BU08260300,Slotjes-West
9,Maud,,Backer,2014,Meisje,1022.54,2019,Qtr 4,May,BU08260300,Sterrenbuurt
9,Maud,,Backer,2014,Meisje,523.17,2021,Qtr 1,February,BU08261300,Slotjes-West
9,Maud,,Backer,2014,Meisje,1371.43,2021,Qtr 3,October,BU08260300,Sterrenbuurt
9,Maud,,Backer,2014,Meisje,379.4,2020,Qtr 1,April,BU08260601,Vogelbuurt
9,Maud,,Backer,2014,Meisje,1982.89,2019,Qtr 1,May,BU08261300,Vogelbuurt
10,Bader,van,Backer,2008,Meisje,322.43,2020,Qtr 1,November,BU08261307,Dorst
10,Bader,van,Backer,2008,Meisje,408.4,2021,Qtr 2,October,BU08260300,Buitengebied Dorst-Zuid
10,Bader,van,Backer,2008,Meisje,1632.69,2019,Qtr 3,January,BU08260601,Vogelbuurt
10,Bader,van,Backer,2008,Meisje,411.79,2019,Qtr 2,April,BU08260102,Buitengebied Dorst-Zuid
10,Bader,van,Backer,2008,Meisje,1849.19,2020,Qtr 2,December,BU08260601,Slotjes-West
10,Bader,van,Backer,2008,Meisje,2024.81,2020,Qtr 3,May,BU08261300,Sterrenbuurt
10,Bader,van,Backer,2008,Meisje,1311.42,2018,Qtr 2,May,BU08261300,Vogelbuurt
10,Bader,van,Backer,2008,Meisje,1959.78,2021,Qtr 2,August,BU08260300,Sterrenbuurt
10,Bader,van,Backer,2008,Meisje,762.33,2021,Qtr 1,December,BU08260300,Vogelbuurt
10,Bader,van,Backer,2008,Meisje,2404.47,2021,Qtr 4,March,BU08261300,Slotjes-West
10,Bader,van,Backer,2008,Meisje,1341.92,2019,Qtr 4,July,BU08260102,Slotjes-West
10,Bader,van,Backer,2008,Meisje,1222.13,2021,Qtr 1,October,BU08260102,Buitengebied Dorst-Zuid
10,Bader,van,Backer,2008,Meisje,2258.96,2021,Qtr 1,February,BU08260102,Sterrenbuurt
10,Bader,van,Backer,2008,Meisje,547.94,2019,Qtr 4,April,BU08261300,Sterrenbuurt
10,Bader,van,Backer,2008,Meisje,685.58,2019,Qtr 1,May,BU08260601,Slotjes-West
10,Bader,van,Backer,2008,Meisje,284.86,2020,Qtr 3,December,BU08260300,Slotjes-West
10,Bader,van,Backer,2008,Meisje,189.11,2018,Qtr 3,February,BU08260601,Dorst
10,Bader,van,Backer,2008,Meisje,1778.73,2020,Qtr 4,June,BU08260300,Vogelbuurt
10,Bader,van,Backer,2008,Meisje,776.34,2018,Qtr 3,September,BU08261300,Vogelbuurt
10,Bader,van,Backer,2008,Meisje,316.59,2019,Qtr 3,June,BU08260601,Buitengebied Dorst-Zuid
11,Lorena,der,Smit,2011,Meisje,436.39,2019,Qtr 4,July,BU08260300,Buitengebied Dorst-Zuid
11,Lorena,der,Smit,2011,Meisje,1600.06,2019,Qtr 1,October,BU08261307,Slotjes-West
11,Lorena,der,Smit,2011,Meisje,384.43,2020,Qtr 1,July,BU08260601,Dorst
11,Lorena,der,Smit,2011,Meisje,1913.45,2019,Qtr 3,January,BU08260300,Vogelbuurt
11,Lorena,der,Smit,2011,Meisje,762.58,2021,Qtr 2,February,BU08260102,Sterrenbuurt
11,Lorena,der,Smit,2011,Meisje,548.99,2020,Qtr 1,August,BU08261307,Sterrenbuurt
11,Lorena,der,Smit,2011,Meisje,1056.79,2021,Qtr 1,July,BU08260300,Buitengebied Dorst-Zuid
11,Lorena,der,Smit,2011,Meisje,867.64,2019,Qtr 2,June,BU08260300,Slotjes-West
11,Lorena,der,Smit,2011,Meisje,1498.19,2020,Qtr 2,April,BU08260601,Dorst
11,Lorena,der,Smit,2011,Meisje,726.04,2020,Qtr 2,February,BU08261307,Dorst
11,Lorena,der,Smit,2011,Meisje,461.58,2019,Qtr 2,May,BU08261307,Dorst
11,Lorena,der,Smit,2011,Meisje,906.95,2019,Qtr 4,September,BU08260300,Sterrenbuurt
11,Lorena,der,Smit,2011,Meisje,539.5,2020,Qtr 1,October,BU08260102,Dorst
11,Lorena,der,Smit,2011,Meisje,1491.96,2018,Qtr 1,July,BU08260300,Dorst
11,Lorena,der,Smit,2011,Meisje,960.67,2020,Qtr 2,July,BU08260102,Sterrenbuurt
11,Lorena,der,Smit,2011,Meisje,2012.64,2019,Qtr 2,November,BU08261300,Sterrenbuurt
11,Lorena,der,Smit,2011,Meisje,1788.71,2021,Qtr 4,September,BU08260300,Slotjes-West
11,Lorena,der,Smit,2011,Meisje,718.11,2019,Qtr 3,November,BU08260300,Sterrenbuurt
11,Lorena,der,Smit,2011,Meisje,2008.57,2020,Qtr 3,November,BU08261300,Buitengebied Dorst-Zuid
11,Lorena,der,Smit,2011,Meisje,526.28,2018,Qtr 3,October,BU08260601,Sterrenbuurt
12,Izaak,,Smit,2011,Meisje,2028.6,2021,Qtr 2,April,BU08260601,Dorst
12,Izaak,,Smit,2011,Meisje,2484.12,2020,Qtr 3,September,BU08260601,Slotjes-West
12,Izaak,,Smit,2011,Meisje,1744.49,2021,Qtr 1,May,BU08260601,Vogelbuurt
12,Izaak,,Smit,2011,Meisje,412.17,2021,Qtr 3,March,BU08260102,Dorst
12,Izaak,,Smit,2011,Meisje,2336.3,2019,Qtr 4,August,BU08261307,Vogelbuurt
12,Izaak,,Smit,2011,Meisje,1063.62,2018,Qtr 4,December,BU08260601,Sterrenbuurt
12,Izaak,,Smit,2011,Meisje,2198.21,2019,Qtr 3,September,BU08260601,Dorst
12,Izaak,,Smit,2011,Meisje,2229.67,2020,Qtr 3,October,BU08261300,Sterrenbuurt
12,Izaak,,Smit,2011,Meisje,231.28,2021,Qtr 2,June,BU08261307,Dorst
12,Izaak,,Smit,2011,Meisje,1829.46,2020,Qtr 2,February,BU08261300,Slotjes-West
12,Izaak,,Smit,2011,Meisje,2425.92,2018,Qtr 2,September,BU08260300,Slotjes-West
12,Izaak,,Smit,2011,Meisje,2061.63,2019,Qtr 1,June,BU08261307,Sterrenbuurt
12,Izaak,,Smit,2011,Meisje,878.84,2021,Qtr 3,June,BU08260601,Dorst
12,Izaak,,Smit,2011,Meisje,287.52,2020,Qtr 4,May,BU08260601,Slotjes-West
12,Izaak,,Smit,2011,Meisje,495.0,2019,Qtr 2,December,BU08260601,Slotjes-West
12,Izaak,,Smit,2011,Meisje,2133.86,2019,Qtr 4,June,BU08260601,Slotjes-West
12,Izaak,,Smit,2011,Meisje,510.61,2018,Qtr 1,February,BU08260601,Dorst
12,Izaak,,Smit,2011,Meisje,1502.69,2021,Qtr 3,December,BU08260300,Dorst
12,Izaak,,Smit,2011,Meisje,1558.53,2020,Qtr 4,July,BU08261307,Dorst
12,Izaak,,Smit,2011,Meisje,521.89,2020,Qtr 4,February,BU08261300,Dorst
13,Bader,der,Dekker,2010,Jongen,1952.01,2020,Qtr 2,November,BU08260300,Sterrenbuurt
13,Bader,der,Dekker,2010,Jongen,966.0,2018,Qtr 4,January,BU08261300,Buitengebied Dorst-Zuid
13,Bader,der,Dekker,2010,Jongen,1598.88,2020,Qtr 2,December,BU08261307,Sterrenbuurt
13,Bader,der,Dekker,2010,Jongen,1331.82,2020,Qtr 3,January,BU08261300,Dorst
13,Bader,der,Dekker,2010,Jongen,771.71,2018,Qtr 4,December,BU08261300,Buitengebied Dorst-Zuid
13,Bader,der,Dekker,2010,Jongen,1068.62,2019,Qtr 1,October,BU08261307,Buitengebied Dorst-Zuid
13,Bader,der,Dekker,2010,Jongen,1455.56,2020,Qtr 3,March,BU08260102,Slotjes-West
13,Bader,der,Dekker,2010,Jongen,142.12,2020,Qtr 2,July,BU08261300,Buitengebied Dorst-Zuid
13,Bader,der,Dekker,2010,Jongen,1860.49,2021,Qtr 4,June,BU08261300,Dorst
13,Bader,der,Dekker,2010,Jongen,1661.73,2020,Qtr 1,January,BU08261307,Dorst
13,Bader,der,Dekker,2010,Jongen,880.71,2018,Qtr 4,February,BU08260300,Buitengebied Dorst-Zuid
13,Bader,der,Dekker,2010,Jongen,1797.41,2018,Qtr 4,January,BU08260300,Slotjes-West
13,Bader,der,Dekker,2010,Jongen,1861.68,2019,Qtr 2,November,BU08260601,Vogelbuurt
13,Bader,der,Dekker,2010,Jongen,777.83,2021,Qtr 1,October,BU08261300,Buitengebied Dorst-Zuid
13,Bader,der,Dekker,2010,Jongen,1124.93,2020,Qtr 1,February,BU08260102,Slotjes-West
13,Bader,der,Dekker,2010,Jongen,2311.15,2020,Qtr 2,August,BU08260102,Buitengebied Dorst-Zuid
13,Bader,der,Dekker,2010,Jongen,205.95,2019,Qtr 2,October,BU08260300,Dorst
13,Bader,der,Dekker,2010,Jongen,1837.34,2020,Qtr 4,July,BU08261307,Vogelbuurt
13,Bader,der,Dekker,2010,Jongen,2149.31,2019,Qtr 3,July,BU08260102,Sterrenbuurt
13,Bader,der,Dekker,2010,Jongen,474.8,2020,Qtr 1,August,BU08260601,Sterrenbuurt
14,Maud,,Dekker,2010,Meisje,138.67,2018,Qtr 4,February,BU08261300,Slotjes-West
14,Maud,,Dekker,2010,Meisje,484.23,2019,Qtr 2,September,BU08260102,Sterrenbuurt
